Event ID,Event Name,Event Tags,Society ID,Society Name,Event Date
2,Engineering Ball 2023,,78,CivSoc (Civil Engineering),06/05/2023 19:00
3,test,Other,154,Hiking,12/04/2023 15:05
4,Varsity - 2023,Varsity,396,Student Activities,12/04/2023 15:00
5,THE ENGSOC BALL,Other,114,English,30/05/2023 19:00
9,Varsity 2023: Rugby Union - Finale Event,"Varsity, Sports & Active",396,Student Activities,03/05/2023 17:00
10,Belly Dance Summer Classes: Beginners to Advanced,Other,42,Belly Dance Society,24/04/2023 16:00
11,PRHS Liberal Arts x Philsoc Ball,,211,Liberal Arts,11/05/2023 18:30
12,Annual Ball,"Food & Drink, Live Music & Performance",281,Physics,06/05/2023 19:30
14,AvSoc Airside Visit to East Midlands Airport,"Alcohol-Free, Trips & Days Out",28,Aviation,02/05/2023 17:45
15,Varsi-Tea! Free teas from around the world,"Free, Varsity, Alcohol-Free, Food & Drink",396,Student Activities,02/05/2023 12:00
16,Welsh Weekend 5th-7th May,"Health, Wellbeing & Support, Sports & Active, Trips & Days Out",65,Canoe Club,05/05/2023 17:00
17,LUUSAG goes to Pixel Bar,Free,313,Scout & Guide,05/05/2023 19:15
18,VARSITY 22/23,Varsity,35,Barbell Club,03/05/2023 14:00
19,Test event,,396,Student Activities,18/07/2025 13:41
20,Varsity 2023: Hockey (Men's),"Varsity, Sports & Active, Free",396,Student Activities,02/05/2023 20:00
21,Varsity 2023: Hockey (Women's),"Varsity, Sports & Active, Free",396,Student Activities,02/05/2023 18:00
22,Varsity 2023: Rowing,"Varsity, Sports & Active",396,Student Activities,03/05/2023 07:00
23,"Varsity 2023: Netball (Women's 2s, 3s, & 4s)","Varsity, Sports & Active",396,Student Activities,03/05/2023 10:00
24,Pendle Cloughs,"Sports & Active, Trips & Days Out",266,Orienteering + Fell Running,06/05/2023 11:00
25,Calderdale way relay,"Sports & Active, Trips & Days Out",266,Orienteering + Fell Running,21/05/2023 08:00
26,Thorton in Craven fell race,"Sports & Active, Trips & Days Out",266,Orienteering + Fell Running,28/05/2023 11:00
27,Edenfield fell race,"Sports & Active, Trips & Days Out",266,Orienteering + Fell Running,04/06/2023 10:30
28,Varsity 2023: Swimming and Water Polo Gala with Synchronised Swimming Showcase!,"Varsity, Sports & Active, Free",396,Student Activities,03/05/2023 10:30
29,Varsity 2023: Tennis (Men's and Women's),"Varsity, Sports & Active",396,Student Activities,03/05/2023 09:00
30,Varsity 2023: Women's Basketball,"Varsity, Sports & Active",396,Student Activities,03/05/2023 13:00
31,Varsity 2023: Football - Women's,"Varsity, Sports & Active",396,Student Activities,03/05/2023 11:00
32,Varsity 2023: Football - Men's,"Varsity, Sports & Active, Free",396,Student Activities,03/05/2023 11:00
33,Varsity 2023: Men's Futsal,"Varsity, Sports & Active",396,Student Activities,03/05/2023 13:00
34,Varsity 2023: Handball,"Varsity, Sports & Active",396,Student Activities,03/05/2023 13:00
35,Varsity 2023: Korfball,"Varsity, Sports & Active, Free",396,Student Activities,03/05/2023 11:00
36,Varsity 2023: Lacrosse,"Varsity, Sports & Active, Free",396,Student Activities,03/05/2023 13:00
37,"Varsity 2023: Rugby Union (Men's 2s, 3s, 4s)","Varsity, Sports & Active, Free",396,Student Activities,03/05/2023 11:00
38,GYMNASTICS BALL 2023,,146,Gymnastics,05/05/2023 17:00
39,Varsity 2023: Rugby League,"Varsity, Sports & Active, Free",396,Student Activities,03/05/2023 13:00
