Purchase ID,Event ID,Event Name,Student ID,Ticket Price,Group Member
1,2,Engineering Ball 2023,201422729,3900,Yes
2,5,THE ENGSOC BALL,201590526,3850,Yes
3,5,THE ENGSOC BALL,201589401,3550,Yes
4,5,THE ENGSOC BALL,201607437,3850,Yes
5,5,THE ENGSOC BALL,201527809,3850,No
6,5,THE ENGSOC BALL,201607418,3850,Yes
8,5,THE ENGSOC BALL,201523642,3850,No
11,2,Engineering Ball 2023,201509070,4300,Yes
12,5,THE ENGSOC BALL,201615333,3850,No
13,5,THE ENGSOC BALL,201611701,3850,No
14,5,THE ENGSOC BALL,201593912,3550,Yes
22,5,THE ENGSOC BALL,201610105,3850,No
23,12,Annual Ball,201424847,4500,No
24,12,Annual Ball,201434537,4000,Yes
25,5,THE ENGSOC BALL,201636156,3850,No
26,12,Annual Ball,201490693,4000,Yes
27,5,THE ENGSOC BALL,201599529,3550,Yes
28,5,THE ENGSOC BALL,201645273,3550,Yes
29,5,THE ENGSOC BALL,201592251,3850,No
30,5,THE ENGSOC BALL,201581960,3550,Yes
31,5,THE ENGSOC BALL,201392102,3550,Yes
32,12,Annual Ball,201421396,4500,No
33,12,Annual Ball,201610031,4000,Yes
36,2,Engineering Ball 2023,201394595,4300,No
37,49,Art Society Ball 2023,201626138,3000,No
38,49,Art Society Ball 2023,201250426,2700,Yes
39,49,Art Society Ball 2023,201525357,2700,Yes
40,49,Art Society Ball 2023,201424049,2700,Yes
41,5,THE ENGSOC BALL,201616787,3850,No
42,5,THE ENGSOC BALL,201528339,3550,Yes
43,5,THE ENGSOC BALL,201542374,3550,Yes
44,12,Annual Ball,201629069,4000,Yes
45,49,Art Society Ball 2023,201603765,2700,Yes
46,49,Art Society Ball 2023,201605148,2700,Yes
47,12,Annual Ball,201646648,4000,Yes
48,12,Annual Ball,201417970,4500,No
49,12,Annual Ball,201427538,4500,No
50,12,Annual Ball,201690754,4000,Yes
51,12,Annual Ball,201413180,4500,No
52,14,AvSoc Airside Visit to East Midlands Airport,201501200,3000,Yes
53,14,AvSoc Airside Visit to East Midlands Airport,201507778,3000,Yes
54,14,AvSoc Airside Visit to East Midlands Airport,201522766,3000,Yes
55,14,AvSoc Airside Visit to East Midlands Airport,201551123,3000,Yes
56,14,AvSoc Airside Visit to East Midlands Airport,201504113,3000,Yes
57,14,AvSoc Airside Visit to East Midlands Airport,201490019,3000,Yes
58,14,AvSoc Airside Visit to East Midlands Airport,201442824,3000,Yes
59,14,AvSoc Airside Visit to East Midlands Airport,201634124,3000,Yes
60,14,AvSoc Airside Visit to East Midlands Airport,201501116,3000,Yes
61,14,AvSoc Airside Visit to East Midlands Airport,201603386,3000,Yes
