"Event ID","Event Name","Event Tags","Society ID","Society Name","Event Date"
6,"Discover Leeds - Leeds Art Gallery",,398,"Residence Life Social Programme","2023-04-25 13:00:00"
7,"Discover Leeds - Royal Armouries Museum",,398,"Residence Life Social Programme","2023-04-20 13:00:00"
8,"Discover Leeds - Meanwood Valley Farm",,398,"Residence Life Social Programme","2023-04-17 12:15:00"
13,"Get Out Get Active - Bakewell and Chatsworth",Free,398,"Residence Life Social Programme","2023-05-06 08:00:00"
78,"Summer Buffet Party","Other, Food & Drink, Residence Life",403,"Central Village","2023-05-09 19:30:00"
171,"⭐ The ultimate farewell bash before exams! 🥳","Residence Life, £5 or less",414,"Leodis Residences","2023-05-15 19:30:00"
185,"Henry Price Summer Party!","Free, Residence Life",410,"Henry Price Residence","2023-05-14 14:00:00"
272,"Day Trip to Bridlington, UK","Residence Life, Trips & Days Out",401,"Blenheim Point","2023-06-12 09:00:00"
296,"Picnic and Pimm's","Residence Life, Free",398,"Residence Life Social Programme","2023-06-14 12:00:00"
303,"Movie Night at Vue - Transformers: Rise of the Beast","Residence Life, Cinema & Theatre",423,"Sentinel Towers","2023-06-16 17:00:00"
480,"Great British Biscuit Off!","Residence Life, Free, Alcohol-Free, Food & Drink",398,"Residence Life Social Programme","2023-09-19 13:00:00"
481,"Postgraduate Afternoon Tea","Free, Alcohol-Free, Residence Life, Food & Drink",398,"Residence Life Social Programme","2023-09-23 15:00:00"
495,"Away Day: Trip to York","Free, Residence Life, Alcohol-Free, Trips & Days Out",398,"Residence Life Social Programme","2023-09-20 09:30:00"
496,"Away Day: Trip to Whitby","Free, Residence Life, Trips & Days Out",398,"Residence Life Social Programme","2023-09-29 09:15:00"
525,"Charles Morris Hall - Bowling Trip","Residence Life",404,"Charles Morris","2023-09-26 18:00:00"
539,"Henry Price Trip to Bolton Abbey","Residence Life",410,"Henry Price Residence","2023-09-19 10:30:00"
540,"Henry Price Bowling Trip","Residence Life",410,"Henry Price Residence","2023-09-21 14:30:00"
541,"Henry Price Mini Golf Trip","Residence Life",410,"Henry Price Residence","2023-09-24 14:30:00"
555,test,"Residence Life",398,"Residence Life Social Programme","2023-09-08 13:36:00"
866,"Carlton Hill x Leodis Welcome Disco Bingo","Residence Life",550,"Carlton Hill","2023-10-10 19:00:00"
867,"Carlton Hill x Leodis Welcome Disco Bingo","Residence Life",414,"Leodis Residences","2023-10-10 19:00:00"
906,"Pumpkin Picking","Residence Life",398,"Residence Life Social Programme","2023-10-19 12:00:00"
918,"Get Out Get Active: Trip to Haworth","Trips & Days Out, Residence Life",398,"Residence Life Social Programme","2023-11-05 09:00:00"
919,"Get Out Get Active: Trip to Knaresborough","Trips & Days Out",398,"Residence Life Social Programme","2023-12-02 09:00:00"
1213,Sextravaganza,"Residence Life",398,"Residence Life Social Programme","2023-11-13 20:00:00"
1327,"Charles Morris Cinema Trip: Hunger Games","Residence Life",404,"Charles Morris","2023-11-17 19:15:00"
1388,"Charles Morris Trip to York","Residence Life",404,"Charles Morris","2023-11-25 10:00:00"
1389,"International Students’ Day","Residence Life",550,"Carlton Hill","2023-11-17 18:00:00"
1480,"Theatre Trip - Oliver!","Cinema & Theatre, Live Music & Performance, Residence Life",398,"Residence Life Social Programme","2023-11-28 18:30:00"
1565,"Charles Morris Hall - Bowling Trip","Residence Life",404,"Charles Morris","2023-12-05 18:00:00"
1580,"Trip to the Manchester Christmas Markets","Residence Life",414,"Leodis Residences","2023-12-09 12:00:00"
1586,"Gingerbread House Competition!","Residence Life",414,"Leodis Residences","2023-12-13 19:00:00"
1587,"Christmas Movie Night","Residence Life",414,"Leodis Residences","2023-12-21 19:00:00"
1593,"Central Village Ice Skating",,403,"Central Village","2023-12-07 17:30:00"
1604,"Charles Morris Hall - Ice Skating!","Residence Life",404,"Charles Morris","2023-12-07 18:00:00"
1609,"Ice Skating in Millennium Square","Residence Life",398,"Residence Life Social Programme","2023-12-28 13:30:00"
1620,"Red Riding Hood: A Festive Pantomime","Residence Life",398,"Residence Life Social Programme","2023-12-14 19:00:00"
1628,"Cityside - Junkyard Mini Golf!","Residence Life",405,Cityside,"2023-12-13 17:00:00"
1905,"GOGA Trip- Windermere","Residence Life",398,"Residence Life Social Programme","2024-02-17 08:00:00"
2059,"Lunar New Year","Residence Life",550,"Carlton Hill","2024-02-11 19:00:00"
2075,Sextravaganza,"Residence Life",398,"Residence Life Social Programme","2024-02-14 20:00:00"
2119,"Cocktail Masterclass","Food & Drink",404,"Charles Morris","2024-02-20 18:00:00"
2138,"Meditation / Yoga Session","Residence Life",414,"Leodis Residences","2024-02-16 18:30:00"
2163,"Trip to Harewood House - Residence Life","Residence Life, Trips & Days Out",398,"Residence Life Social Programme","2024-02-23 10:20:00"
2164,"Bowling night at Tenpin","Residence Life",414,"Leodis Residences","2024-02-22 19:00:00"
2220,"Bowling Night","Residence Life",423,"Sentinel Towers","2024-03-06 19:00:00"
2222,"Bowling Night","Residence Life",425,"Shared Houses","2024-03-06 19:00:00"
2226,"Charles Morris Painting Afternoon","Residence Life",404,"Charles Morris","2024-03-06 16:30:00"
2256,"Charles Morris Go Karting","Residence Life",404,"Charles Morris","2024-03-01 18:35:00"
2313,"Theatre Trip - Macbeth","Residence Life, Cinema & Theatre",398,"Residence Life Social Programme","2024-03-14 19:30:00"
2319,"Res Life & LUU - Trip to Ilkley","Residence Life",398,"Residence Life Social Programme","2024-03-23 09:45:00"
2330,"Get Out Get Active: Trip to Flamborough Head","Residence Life",398,"Residence Life Social Programme","2024-03-17 08:00:00"
2334,"Sip and Paint","Residence Life",414,"Leodis Residences","2024-03-03 19:00:00"
2335,"Ramadan iftar/dinner","Residence Life",414,"Leodis Residences","2024-03-14 18:00:00"
2339,"Grocery Bingo! - Central Village","Free, Residence Life, Food & Drink, Alcohol-Free",403,"Central Village","2024-03-07 17:00:00"
2351,"St. Patrick's Day Celebration","Residence Life, Cultural Calendar, Food & Drink, £5 or less",550,"Carlton Hill","2024-03-17 19:00:00"
2357,"Escape Room","Residence Life",404,"Charles Morris","2024-03-08 19:00:00"
2358,"Laser Tag","Residence Life",404,"Charles Morris","2024-03-13 18:40:00"
2388,"Junkyard Golf Trip","Residence Life",410,"Henry Price Residence","2024-03-17 14:30:00"
2389,"Free Pizza at Henry Price","Residence Life",410,"Henry Price Residence","2024-03-15 18:00:00"
2393,"Saint Patricks Day Party","Residence Life",414,"Leodis Residences","2024-03-17 19:00:00"
2396,"Junkyard Golf","Residence Life",408,"Ellerslie Hall","2024-03-17 16:30:00"
2397,"Junkyard Golf","Residence Life",416,"Lyddon Hall","2024-03-17 16:30:00"
2398,"Junkyard Golf","Residence Life",404,"Charles Morris","2024-03-17 16:30:00"
2399,"Movie Night: Mulan","Residence Life",401,"Blenheim Point","2024-03-26 18:30:00"
2400,"Movie Night: Lust and Caution","Residence Life",401,"Blenheim Point","2024-03-26 20:20:00"
2402,"Movie Night: Mulan","Residence Life",424,"St. Mark's Residences","2024-03-26 18:30:00"
2403,"Movie Night: Lust and Caution","Residence Life",424,"St. Mark's Residences","2024-03-26 20:20:00"
2445,"Lotherton Hall Day Trip","Residence Life",404,"Charles Morris","2024-03-20 11:30:00"
2459,"Holi Celebrations (St Mark's X Royal Park Flats)","Residence Life",424,"St. Mark's Residences","2024-03-24 12:00:00"
2460,"Holi Celebrations (St Mark's X Royal Park Flats)","Residence Life",422,"Royal Park Flats","2024-03-24 12:00:00"
2553,"Castle Howard Trip","Residence Life",398,"Residence Life Social Programme","2024-04-25 09:30:00"
2614,"Bowling Night!","Residence Life",425,"Shared Houses","2024-04-24 19:00:00"
2617,"Bowling Night!","Residence Life",423,"Sentinel Towers","2024-04-24 19:00:00"
2636,"Mental Health Matters: Suicide Prevention Training","Residence Life, Health, Wellbeing & Support",398,"Residence Life Social Programme","2024-05-07 13:00:00"
2640,"Bowling Night!","Residence Life",410,"Henry Price Residence","2024-04-25 18:00:00"
2663,"Res Life & LUU - Trip to Scarborough","Residence Life",398,"Residence Life Social Programme","2024-05-04 08:45:00"
2722,"Eurovision Party @ Carlton Hill","Residence Life",550,"Carlton Hill","2024-05-11 18:00:00"
2724,"Summer Fiesta at Charles Morris","Residence Life",404,"Charles Morris","2024-05-11 11:00:00"
2761,"Central Village Summer Barbeque","Residence Life",403,"Central Village","2024-05-11 12:00:00"
2768,"England Women vs Pakistan T20 Cricket Match","Residence Life",398,"Residence Life Social Programme","2024-05-19 13:00:00"
2770,"Choco Fountain Exam Break","Residence Life",550,"Carlton Hill","2024-05-22 17:30:00"
2774,"St Marks Bowling Night!","Residence Life",424,"St. Mark's Residences","2024-05-16 19:30:00"
2775,"Axe Throwing","Residence Life",410,"Henry Price Residence","2024-05-16 16:40:00"
2824,"Trip to Flamingo Land","Residence Life",410,"Henry Price Residence","2024-06-15 08:30:00"
2829,"Summer Picnic & Pimm's","Residence Life",398,"Residence Life Social Programme","2024-06-12 12:00:00"
