Purchase ID,Event ID,Event Name,Student ID,Ticket Price,Group Member
7,7,Discover Leeds - Royal Armouries Museum,201385913,0,No
9,7,Discover Leeds - Royal Armouries Museum,201633471,0,Yes
10,6,Discover Leeds - Leeds Art Gallery,201633471,0,Yes
15,7,Discover Leeds - Royal Armouries Museum,201686042,0,No
16,7,Discover Leeds - Royal Armouries Museum,201562466,0,No
17,7,Discover Leeds - Royal Armouries Museum,201545076,0,No
18,6,Discover Leeds - Leeds Art Gallery,201562466,0,No
19,7,Discover Leeds - Royal Armouries Museum,201685884,0,No
20,6,Discover Leeds - Leeds Art Gallery,201685884,0,No
21,7,Discover Leeds - Royal Armouries Museum,201439455,0,No
34,7,Discover Leeds - Royal Armouries Museum,201684171,0,Yes
35,6,Discover Leeds - Leeds Art Gallery,201684171,0,Yes
69,6,Discover Leeds - Leeds Art Gallery,201605895,0,Yes
77,13,Get Out Get Active - Bakewell and Chatsworth,201679345,750,Yes
78,13,Get Out Get Active - Bakewell and Chatsworth,201704507,750,Yes
79,13,Get Out Get Active - Bakewell and Chatsworth,201679340,750,Yes
90,13,Get Out Get Active - Bakewell and Chatsworth,201605895,750,Yes
95,13,Get Out Get Active - Bakewell and Chatsworth,201631621,750,Yes
96,13,Get Out Get Active - Bakewell and Chatsworth,201663992,750,Yes
106,6,Discover Leeds - Leeds Art Gallery,201672959,0,Yes
112,13,Get Out Get Active - Bakewell and Chatsworth,201478918,750,Yes
121,13,Get Out Get Active - Bakewell and Chatsworth,201678230,750,Yes
131,7,Discover Leeds - Royal Armouries Museum,201659244,0,Yes
132,7,Discover Leeds - Royal Armouries Museum,201666202,0,Yes
133,6,Discover Leeds - Leeds Art Gallery,201666202,0,Yes
136,6,Discover Leeds - Leeds Art Gallery,201631621,0,Yes
142,13,Get Out Get Active - Bakewell and Chatsworth,201675509,750,Yes
160,13,Get Out Get Active - Bakewell and Chatsworth,201676748,750,Yes
161,13,Get Out Get Active - Bakewell and Chatsworth,201682832,750,Yes
215,13,Get Out Get Active - Bakewell and Chatsworth,201592205,750,Yes
225,13,Get Out Get Active - Bakewell and Chatsworth,201680482,750,Yes
238,6,Discover Leeds - Leeds Art Gallery,201603563,0,Yes
240,13,Get Out Get Active - Bakewell and Chatsworth,201581222,750,Yes
340,13,Get Out Get Active - Bakewell and Chatsworth,201673519,750,Yes
342,13,Get Out Get Active - Bakewell and Chatsworth,201424025,750,Yes
349,13,Get Out Get Active - Bakewell and Chatsworth,201683304,750,Yes
380,13,Get Out Get Active - Bakewell and Chatsworth,201692426,750,Yes
388,13,Get Out Get Active - Bakewell and Chatsworth,201461448,750,Yes
389,13,Get Out Get Active - Bakewell and Chatsworth,201677997,750,Yes
395,13,Get Out Get Active - Bakewell and Chatsworth,201640143,750,Yes
398,78,Summer Buffet Party,201699494,600,Yes
400,78,Summer Buffet Party,201548643,600,Yes
409,13,Get Out Get Active - Bakewell and Chatsworth,201682567,750,Yes
410,13,Get Out Get Active - Bakewell and Chatsworth,201681826,750,Yes
413,78,Summer Buffet Party,201704507,600,Yes
418,13,Get Out Get Active - Bakewell and Chatsworth,201682870,750,Yes
461,13,Get Out Get Active - Bakewell and Chatsworth,201644513,750,Yes
474,13,Get Out Get Active - Bakewell and Chatsworth,201677059,750,Yes
557,78,Summer Buffet Party,201609188,600,Yes
685,13,Get Out Get Active - Bakewell and Chatsworth,201679068,750,Yes
694,78,Summer Buffet Party,201651436,600,Yes
696,13,Get Out Get Active - Bakewell and Chatsworth,201666109,750,Yes
697,13,Get Out Get Active - Bakewell and Chatsworth,201676426,750,Yes
713,13,Get Out Get Active - Bakewell and Chatsworth,201680351,750,Yes
717,13,Get Out Get Active - Bakewell and Chatsworth,201668636,750,Yes
770,13,Get Out Get Active - Bakewell and Chatsworth,201685018,750,Yes
793,13,Get Out Get Active - Bakewell and Chatsworth,201674481,750,Yes
796,78,Summer Buffet Party,201614054,600,Yes
835,78,Summer Buffet Party,201644697,600,Yes
840,78,Summer Buffet Party,201660188,600,Yes
908,13,Get Out Get Active - Bakewell and Chatsworth,201702270,750,Yes
909,78,Summer Buffet Party,201653707,600,Yes
910,78,Summer Buffet Party,201611878,600,Yes
947,13,Get Out Get Active - Bakewell and Chatsworth,201506408,750,Yes
948,13,Get Out Get Active - Bakewell and Chatsworth,201599758,750,Yes
965,78,Summer Buffet Party,201594496,600,Yes
982,78,Summer Buffet Party,201590816,600,Yes
1029,78,Summer Buffet Party,201628834,600,Yes
1037,78,Summer Buffet Party,201606862,600,Yes
1268,13,Get Out Get Active - Bakewell and Chatsworth,201670829,750,Yes
1269,13,Get Out Get Active - Bakewell and Chatsworth,201649009,750,Yes
1279,13,Get Out Get Active - Bakewell and Chatsworth,201570273,750,Yes
1290,13,Get Out Get Active - Bakewell and Chatsworth,201537879,750,Yes
1292,13,Get Out Get Active - Bakewell and Chatsworth,201562723,750,Yes
1305,13,Get Out Get Active - Bakewell and Chatsworth,201491083,750,Yes
1312,171,⭐ The ultimate farewell bash before exams! 🥳,201686809,100,Yes
1313,171,⭐ The ultimate farewell bash before exams! 🥳,201688417,100,Yes
1333,171,⭐ The ultimate farewell bash before exams! 🥳,201680165,100,Yes
1334,171,⭐ The ultimate farewell bash before exams! 🥳,201684331,100,Yes
1341,171,⭐ The ultimate farewell bash before exams! 🥳,201687864,100,Yes
1343,171,⭐ The ultimate farewell bash before exams! 🥳,201687005,100,Yes
1346,13,Get Out Get Active - Bakewell and Chatsworth,201593327,750,Yes
