"Event ID","Event Name","Event Tags","Event Date"
1,"Developer Event",,"2023-04-26 10:27:00"
54,"LUU Presents - Eid Mubarak",Family-Friendly,"2023-04-24 11:45:00"
95,"Learning Together: Exploring Whiteness and White Privilege Lunchtime Talk with Dr Nick Cartwright","Free, Academic, Liberate LUU, Anti Racism Campaign","2023-05-10 12:00:00"
101,"Fruity for £1","£5 or less, Club Nights & Gigs","2023-04-28 23:30:00"
129,"Varsity Finale stream at LUU",Varsity,"2023-05-03 17:00:00"
148,"LUU's Free Breakfast - 2nd-5th May","Free, Food & Drink","2023-05-02 08:00:00"
165,"Eurovision Finale","Free, Cinema and Theatre","2023-05-13 20:00:00"
174,"LUU's Free Breakfast - 2nd-5th May",,"2023-05-02 08:00:00"
186,"King Charles' Coronation livestream",,"2023-05-06 10:00:00"
187,"LUU's Free Breakfast - 9th -12th May",,"2023-05-09 08:00:00"
200,"Leeds Ball 2023","Club Nights & Gigs, Live Music & Performance","2023-06-10 21:00:00"
201,"Anti-Racism Workshop with Jason Lee","Liberate LUU, Anti Racism Campaign, Free","2023-05-17 12:30:00"
219,"LUU's Free Breakfast - 15th -19th May",,"2023-05-15 08:00:00"
229,"Puma Forever Faster Cup",,"2023-05-12 19:00:00"
238,"Newcastle Vs Leicester City | Live sport at Old Bar","Sports & Active","2023-05-22 20:00:00"
239,"Luton Town v Sunderland | Live sport at Old Bar","Sports & Active","2023-05-16 20:00:00"
240,"Manchester City v Real Madrid | Live sport at Old Bar","Sports & Active","2023-05-17 20:00:00"
241,"Middlesbrough v Coventry City | Live sport at Old Bar","Sports & Active","2023-05-17 20:00:00"
242,"Newcastle United v Brighton & Hove Albion | Live sport at Old Bar","Sports & Active","2023-05-18 19:30:00"
243,"AZ Alkmaar v West Ham United | Live sport at Old Bar","Sports & Active","2023-05-18 20:00:00"
244,"Tottenham Hotspur v Brentford | Live sport at Old Bar","Sports & Active","2023-05-20 12:30:00"
245,"Leeds Rhinos v Wigan Warriors | Live sport at Old Bar","Sports & Active","2023-05-20 14:30:00"
246,"Nottingham Forest v Arsenal | Live sport at Old Bar","Sports & Active","2023-05-20 17:30:00"
247,"West Ham United v Leeds United | Live sport at Old Bar","Sports & Active","2023-05-21 13:30:00"
248,"Emilia-Romagna Grand Prix | Live sport at Old Bar","Sports & Active","2023-05-21 14:00:00"
249,"Manchester City v Chelsea | Live sport at Old Bar","Sports & Active","2023-05-21 16:00:00"
251,"Focus group & free lunch",Free,"2023-05-23 12:00:00"
261,"LUU's Free Breakfast - 22nd -26th May",Free,"2023-05-22 08:00:00"
263,"Brighton Vs Manchester City | Live sport at Old Bar","Sports & Active","2023-05-23 20:00:00"
264,"Manchester United vs Chelsea  | Live sport at Old Bar","Sports & Active","2023-05-25 20:00:00"
265,"Leeds Rhinos vs St Helens (Womens) | Live sport at Old Bar","Sports & Active","2023-05-26 17:30:00"
266,"Leeds Rhinos vs St Helens (Mens) | Live sport at Old Bar","Sports & Active","2023-05-26 20:00:00"
267,"Coventry City v Luton Town (Championship Playoff Final) | Live sport at Old Bar","Sports & Active, Food & Drink","2023-05-27 16:45:00"
269,"Monaco Grand Prix | Live sport at Old Bar","Sports & Active, Food & Drink","2023-05-28 14:00:00"
270,"League Two Playoff Final | Live sport at Old Bar","Sports & Active, Food & Drink","2023-05-28 13:30:00"
273,"Summer In Leeds - Sushi Making Workshop","Food & Drink, Summer in Leeds","2023-07-04 17:00:00"
276,Fruity,"Club Nights & Gigs","2023-05-26 23:30:00"
277,Fruity,"Club Nights & Gigs","2023-06-02 23:30:00"
278,"Fruity Festival","Club Nights & Gigs","2023-06-09 23:30:00"
279,"Half Price Fruity","Club Nights & Gigs","2023-06-16 23:30:00"
280,"Fruity for £1","Club Nights & Gigs","2023-06-23 23:30:00"
281,"LUU's Free Breakfast - 30th May  - 2nd June",,"2023-05-30 08:00:00"
283,"Getting Crafty with Reusables with Refill Leeds","Free, Arts & Creative, Climate-Friendly","2023-05-30 13:00:00"
284,"Sevilla v Roma (Europa League Final) | Live sport at Old Bar","Sports & Active, Food & Drink","2023-05-31 20:00:00"
285,"Manchester City v Manchester United | Live sport at Old Bar","Sports & Active, Food & Drink","2023-06-03 15:00:00"
286,"Pirelli Spanish Grand Prix","Free, Sports & Active, Food & Drink","2023-06-04 14:00:00"
