"Election ID","Election Name","Society ID","Society Name","Election Start Date","Election End Date"
7,"NUS Delegate Election",0,"Not Set","2021-12-06 07:00:00","2021-12-10 19:00:00"
21,"Treasurer Replacement Election",62,Bulgarian,"2021-10-30 16:01:00","2021-11-01 23:59:00"
22,"Casual Kickabout EGM",68,"Casual Kickabout","2021-11-10 22:00:00","2021-11-15 22:00:00"
23,"Student Action for Refugees EGM",342,"Student Action for Refugees","2021-11-08 21:08:00","2021-11-12 21:00:00"
24,"Cutting Edge EGM",96,"Cutting Edge","2021-11-25 00:00:00","2021-12-01 23:59:00"
25,"LUFILSOC EGM",125,Filipino,"2021-11-03 17:01:00","2021-11-10 17:00:00"
26,"LOMSS EGM",265,"Oral Medicine & Surgery","2021-11-06 23:01:00","2021-11-12 23:00:00"
27,"Karate EGM - Publicity and Welfare Officer Elections",185,Karate,"2021-11-15 00:00:00","2021-11-19 23:59:00"
29,"Animal Crossing EGM (President)",15,"Cosy Games Society","2021-11-18 09:00:00","2021-11-24 22:00:00"
30,"LUUWHC EGM",160,"Hockey (w)","2021-11-01 17:00:00","2021-11-05 17:00:00"
31,"BIG OPEN PARTY EGM",47,"Big Open Party","2021-11-16 13:52:00","2021-11-24 13:52:00"
32,"Fencing EGM",124,Fencing,"2021-11-08 14:17:00","2021-11-15 14:17:00"
33,"Canoe Club EGM",65,"Canoe Club","2021-11-10 00:00:00","2021-11-24 23:59:00"
34,"Trampoline Committee 2021",368,Trampoline,"2021-11-04 00:00:00","2021-11-05 16:21:00"
35,"Darts Society EGM",100,Darts,"2021-11-08 19:30:00","2021-11-09 21:30:00"
36,"Catholic Society EGM",69,Catholic,"2021-11-16 08:00:00","2021-11-19 15:00:00"
37,"Scout and Guide EGM",313,"Scout & Guide","2021-11-30 12:02:00","2021-12-07 12:02:00"
41,"Ultimate Frisbee EGM - November 2021",372,"Ultimate Frisbee","2021-11-11 00:01:00","2021-11-14 23:59:00"
42,"Archery EGM",20,Archery,"2021-11-15 09:01:00","2021-11-21 21:00:00"
43,"Physics EGM",281,Physics,"2021-11-18 00:01:00","2021-11-22 23:59:00"
46,"LUUMS EGM",219,"LUUMS (Music)","2021-11-10 09:01:00","2021-11-12 21:00:00"
48,"Jazz and Blues EGM",181,"Jazz & Blues","2021-11-11 14:01:00","2021-11-13 17:00:00"
50,"Amnesty International EGM",13,"Amnesty International","2021-11-11 20:01:00","2021-11-16 14:00:00"
51,"Neurodivergent EGM",256,Neurodivergent,"2021-11-11 00:00:00","2021-11-22 23:59:00"
52,"LAMMPS EGM",196,LAMMPS,"2021-11-14 00:00:00","2021-11-18 23:59:00"
53,"Tae-Kwon-Do EGM",352,Tae-Kwon-Do,"2021-11-10 00:00:00","2021-11-13 00:00:00"
54,"Leeds Rheumatology and Musculoskeletal Medicine Society (LRMMS) EGM",429,"Leeds Rheumatology and Musculoskeletal Medicine Society (LRMMS)","2021-11-15 00:00:00","2021-11-21 23:59:00"
55,"Badminton Committee Election",30,Badminton,"2021-11-15 17:14:00","2021-11-21 17:15:00"
56,"LUUWAFC EGM November 2021",25,"Association Football (w)","2021-11-05 17:01:00","2021-11-07 17:00:00"
57,"People and Planet EGM",274,"People & Planet","2021-11-05 18:33:00","2021-11-07 18:33:00"
58,"CompSoc Elections",86,CompSoc,"2021-11-08 10:01:00","2021-11-12 23:58:00"
60,"POLISSOC Election",283,"Politics and International Studies (POLIS)","2021-11-07 13:30:00","2021-11-15 13:30:00"
61,"LUU Music Theatre Society EGM",249,"Musical Theatre Society","2021-12-06 12:00:00","2021-12-06 18:30:00"
63,"Post-Graduate Society EGM",286,"Postgraduate Society (LUUP)","2021-11-17 00:00:00","2021-11-24 00:00:00"
64,"Leeds Uni Boob Team EGM",208,"Leeds Uni Boob Team","2021-11-09 00:01:00","2021-11-14 23:59:00"
65,"German Society EGM",138,German,"2021-11-09 09:00:00","2021-11-09 17:00:00"
66,"Sociology & Social Policy Society EGM",326,"Sociology & Social Policy","2021-11-11 09:00:00","2021-11-15 17:00:00"
67,"Korfball Committee Elections",189,Korfball,"2021-11-13 09:00:00","2021-11-19 09:00:00"
68,"The Arrhythmics EGM",358,"The Arrhythmics","2021-11-18 00:01:00","2021-11-24 23:59:00"
69,"Mid Semester 1 Election",277,"Philosophy (Leeds University Philosophical Society)","2021-11-16 17:32:00","2021-11-21 17:32:00"
70,"French Society Election Nov 2021",134,French,"2021-11-12 00:00:00","2021-11-19 00:00:00"
71,"CivSoc (Civil Engineering)",78,"CivSoc (Civil Engineering)","2021-11-16 00:00:00","2021-11-22 00:00:00"
72,"LeedsISoc AGM 2021",178,Islamic,"2021-11-22 00:00:00","2021-11-24 23:59:00"
73,"High on Life EGM",153,"High on Life","2021-11-14 18:00:00","2021-11-19 18:00:00"
74,"Her Campus EGM",152,"Her Campus","2021-11-16 12:15:00","2021-11-23 17:00:00"
76,"MSRC EGM",246,MSRC,"2021-11-16 09:00:00","2021-11-20 22:00:00"
77,"Pantomime Society EGM!",273,Pantomime,"2021-11-11 17:00:00","2021-11-16 20:00:00"
81,"LGBT+Soc EGM",210,LGBT,"2021-11-18 00:00:00","2021-11-25 23:59:00"
82,"Rounders EGM",298,Rounders,"2021-12-01 13:06:00","2021-12-07 09:10:00"
83,"Performing Arts EGM",276,"Performing Arts","2021-11-25 00:01:00","2021-11-28 23:59:00"
84,"Dancesport EGM",99,"Dancesport (Ballroom and Latin)","2021-11-15 00:00:00","2021-11-17 23:59:00"
85,"Union Music Library EGM",374,"Union Music Library","2021-11-15 00:00:00","2021-11-19 23:59:00"
86,"Psyched EGM",288,"Psyched (Psychiatry)","2021-11-20 06:00:00","2021-11-28 23:59:00"
87,"English Society EGM",114,English,"2021-11-19 12:00:00","2021-11-23 12:00:00"
88,"Greek and Cypriot Society of Leeds Additional elections",142,"Greek and Cypriot","2021-11-17 09:29:00","2021-11-17 18:26:00"
89,"Theology and Religious Studies EGM",370,"TRS Society (Theology and Religion)","2021-11-15 00:00:00","2021-11-17 00:00:00"
90,"Homed EMG",161,Homed,"2021-12-01 00:00:00","2021-12-07 00:00:00"
91,"Envirosoc EGM",116,"Environmental (EnviroSoc)","2021-11-22 14:00:00","2021-11-27 12:00:00"
92,"German Society EGM Sports Secretary",138,German,"2021-11-12 20:00:00","2021-11-14 08:00:00"
93,"East Asian Research Society EGM",110,"East Asian Research (EARS)","2021-11-19 12:01:00","2021-11-26 23:59:00"
94,"ShockSoc November EGM",316,"ShockSoc (Electrical Engineering)","2021-11-21 00:01:00","2021-11-26 23:59:00"
95,"Animal Crossing EGM (Treasurer)",15,"Cosy Games Society","2021-11-18 09:00:00","2021-11-24 09:00:00"
96,"Animal Crossing EGM (Secretary)",15,"Cosy Games Society","2021-11-18 09:00:00","2021-11-24 20:00:00"
97,"Lax EGM",194,"Lacrosse (m)","2021-11-19 00:00:00","2021-11-19 23:59:00"
98,"Teddy Bear Hospital EGM",354,"Teddy Bear Hospital","2021-12-03 00:00:00","2021-12-04 23:59:00"
99,"Backstage EGM",29,Backstage,"2021-12-03 00:01:00","2021-12-10 14:00:00"
100,"Vibes Bollywood Dance Society EGM",377,"Vibes: Bollywood Dance","2021-11-20 12:30:00","2021-11-26 12:30:00"
